USER_ID,weight_required_skills,weight_preferred_skills,weight_language,req_R_score,req_Atlassian JIRA Software_score,req_Microsoft Power BI_score,lang_French_score,lang_English_score
2843838,9,0,5,0.0,0.0,0.0,300.0,200.0
2479537,9,0,5,0.0,0.0,0.0,300.0,180.0
2533337,9,0,5,0.0,0.0,0.0,300.0,100.0
2446382,9,0,5,80.0,0.0,160.0,300.0,120.0
2433124,9,0,5,0.0,0.0,0.0,300.0,200.0
2817191,9,0,5,0.0,0.0,0.0,300.0,200.0
2936770,9,0,5,0.0,0.0,0.0,0.0,0.0
2501258,9,0,5,0.0,0.0,0.0,300.0,200.0
2433139,9,0,5,0.0,0.0,0.0,300.0,200.0
2480827,9,0,5,0.0,0.0,160.0,0.0,180.0
2433122,9,0,5,0.0,0.0,0.0,300.0,160.0
2433125,9,0,5,0.0,0.0,160.0,300.0,200.0
2513848,9,0,5,0.0,0.0,0.0,300.0,160.0
2433130,9,0,5,0.0,0.0,0.0,300.0,200.0
2447746,9,0,5,0.0,0.0,200.0,300.0,140.0
2433144,9,0,5,0.0,0.0,0.0,300.0,200.0
2433117,9,0,5,0.0,0.0,120.0,300.0,200.0
2433135,9,0,5,0.0,0.0,0.0,300.0,200.0
2475141,9,0,5,0.0,0.0,120.0,300.0,200.0
2445183,9,0,5,0.0,120.0,200.0,300.0,200.0
2671704,9,0,5,200.0,100.0,0.0,300.0,160.0
2501164,9,0,5,0.0,0.0,0.0,300.0,200.0
2451715,9,0,5,0.0,0.0,0.0,300.0,200.0
2446130,9,0,5,0.0,200.0,0.0,300.0,160.0
2452725,9,0,5,200.0,0.0,200.0,300.0,200.0
2977311,9,0,5,0.0,0.0,0.0,0.0,0.0
2583132,9,0,5,0.0,140.0,140.0,270.0,140.0
2513866,9,0,5,120.0,120.0,120.0,300.0,180.0
2443989,9,0,5,0.0,0.0,0.0,300.0,200.0
2700124,9,0,5,0.0,0.0,100.0,180.0,160.0
2836571,9,0,5,120.0,100.0,140.0,300.0,160.0
2683916,9,0,5,0.0,0.0,0.0,0.0,0.0
2978961,9,0,5,0.0,0.0,180.0,0.0,200.0
2432194,9,0,5,0.0,0.0,0.0,300.0,200.0
2453262,9,0,5,0.0,160.0,140.0,300.0,120.0
2443199,9,0,5,120.0,0.0,160.0,300.0,160.0
3072774,9,0,5,80.0,0.0,0.0,300.0,180.0
2726335,9,0,5,0.0,0.0,0.0,0.0,0.0
2433140,9,0,5,0.0,0.0,0.0,300.0,200.0
2503861,9,0,5,0.0,0.0,0.0,0.0,180.0
2433083,9,0,5,0.0,0.0,0.0,300.0,160.0
2471586,9,0,5,0.0,0.0,0.0,300.0,0.0
2578963,9,0,5,0.0,0.0,180.0,300.0,160.0
2903451,9,0,5,0.0,0.0,0.0,0.0,0.0
2766619,9,0,5,0.0,0.0,160.0,300.0,160.0
2841644,9,0,5,0.0,0.0,0.0,300.0,180.0
2708864,9,0,5,0.0,0.0,120.0,300.0,120.0
2967233,9,0,5,0.0,0.0,0.0,0.0,0.0
2446029,9,0,5,0.0,0.0,0.0,300.0,200.0
2693756,9,0,5,0.0,0.0,0.0,0.0,0.0
2513831,9,0,5,0.0,120.0,80.0,300.0,120.0
2453233,9,0,5,160.0,0.0,200.0,300.0,200.0
2552838,9,0,5,0.0,0.0,0.0,300.0,120.0
2445156,9,0,5,0.0,0.0,0.0,300.0,200.0
2433109,9,0,5,0.0,200.0,0.0,300.0,160.0
2433142,9,0,5,0.0,0.0,0.0,300.0,200.0
2437177,9,0,5,0.0,0.0,0.0,0.0,0.0
2449548,9,0,5,0.0,0.0,0.0,300.0,120.0
2450849,9,0,5,0.0,0.0,200.0,300.0,200.0
2502347,9,0,5,0.0,0.0,0.0,300.0,200.0
2645516,9,0,5,0.0,0.0,120.0,300.0,200.0
2447527,9,0,5,0.0,0.0,0.0,300.0,160.0
2433099,9,0,5,0.0,160.0,0.0,300.0,160.0
2433118,9,0,5,0.0,0.0,200.0,300.0,200.0
2433114,9,0,5,0.0,180.0,0.0,300.0,200.0
2818577,9,0,5,40.0,20.0,120.0,300.0,120.0
2634429,9,0,5,0.0,0.0,0.0,0.0,0.0
2725267,9,0,5,0.0,0.0,0.0,300.0,200.0
2433134,9,0,5,0.0,0.0,160.0,300.0,160.0
2433120,9,0,5,0.0,0.0,80.0,300.0,120.0
2664664,9,0,5,0.0,0.0,0.0,0.0,0.0
2443208,9,0,5,200.0,0.0,200.0,300.0,120.0
2456839,9,0,5,0.0,0.0,0.0,300.0,160.0
2445149,9,0,5,0.0,0.0,160.0,300.0,160.0
2451804,9,0,5,0.0,0.0,120.0,300.0,200.0
2433141,9,0,5,0.0,0.0,0.0,300.0,200.0
2540340,9,0,5,40.0,100.0,120.0,300.0,140.0
2708468,9,0,5,0.0,0.0,0.0,0.0,0.0
2447137,9,0,5,0.0,160.0,140.0,300.0,120.0
2433111,9,0,5,0.0,0.0,160.0,300.0,200.0
2444211,9,0,5,0.0,0.0,200.0,300.0,200.0
2443771,9,0,5,0.0,0.0,0.0,300.0,200.0
2599691,9,0,5,0.0,0.0,0.0,300.0,160.0
2976032,9,0,5,0.0,0.0,0.0,0.0,0.0
2433092,9,0,5,0.0,200.0,0.0,300.0,160.0
2676328,9,0,5,160.0,200.0,180.0,300.0,180.0
2689959,9,0,5,0.0,0.0,0.0,300.0,200.0
2551856,9,0,5,80.0,0.0,200.0,300.0,160.0
2433143,9,0,5,0.0,0.0,0.0,300.0,200.0
2449781,9,0,5,0.0,0.0,0.0,300.0,200.0
2501974,9,0,5,0.0,0.0,200.0,300.0,200.0
2433136,9,0,5,200.0,200.0,200.0,300.0,200.0
2579999,9,0,5,80.0,160.0,200.0,300.0,200.0
2442934,9,0,5,0.0,0.0,100.0,0.0,160.0
2433138,9,0,5,0.0,0.0,80.0,300.0,160.0
2799951,9,0,5,0.0,0.0,0.0,0.0,0.0
2433112,9,0,5,0.0,120.0,80.0,300.0,160.0
2571584,9,0,5,0.0,0.0,0.0,300.0,140.0
2433852,9,0,5,0.0,0.0,180.0,0.0,160.0
2535513,9,0,5,40.0,0.0,40.0,300.0,200.0
2946290,9,0,5,180.0,0.0,180.0,300.0,180.0
2895177,9,0,5,0.0,140.0,180.0,0.0,0.0
2662823,9,0,5,0.0,0.0,0.0,300.0,200.0
2448418,9,0,5,0.0,0.0,0.0,300.0,160.0
2457327,9,0,5,0.0,0.0,200.0,300.0,200.0
2634865,9,0,5,0.0,0.0,0.0,300.0,200.0
2445187,9,0,5,0.0,0.0,0.0,300.0,160.0
2789583,9,0,5,0.0,0.0,120.0,300.0,200.0
2451833,9,0,5,0.0,0.0,120.0,300.0,120.0
2560995,9,0,5,0.0,0.0,120.0,300.0,120.0
2957009,9,0,5,0.0,0.0,0.0,0.0,200.0
2533338,9,0,5,0.0,0.0,100.0,300.0,120.0
2499680,9,0,5,160.0,0.0,160.0,300.0,200.0
2449639,9,0,5,0.0,0.0,0.0,300.0,120.0
2713733,9,0,5,0.0,0.0,0.0,240.0,200.0
2456947,9,0,5,80.0,0.0,0.0,300.0,200.0
2447672,9,0,5,0.0,0.0,0.0,300.0,160.0
2789547,9,0,5,0.0,160.0,160.0,300.0,140.0
2920938,9,0,5,0.0,0.0,0.0,0.0,160.0
